df_name,class_type,num_features,classifier,avg_accuracy,avg_precision,avg_recall,avg_f1score
df_05_00,multiclass,-21,Naive Bayes,0.4011009019488063,0.4445582747505591,0.4011009019488063,0.3964037721245582
df_05_00,binary,-6,Gradient Boosting,0.5297107037381636,0.48505283426624846,0.5297107037381636,0.4659354387024163
df_05_00,binary,-6,Nearest Neighbors,0.5061412589444626,0.5138407043753418,0.5061412589444626,0.5056655534330392
df_05_00,binary,-6,Decision Tree,0.5200161775676649,0.44971915995587686,0.5200161775676649,0.44031232356567174
df_05_00,binary,-6,Random Forest,0.5203494382556167,0.4542418909739271,0.5203494382556167,0.44514280442261783
df_05_00,binary,-6,Neural Net,0.501294275264527,0.42538471027824826,0.501294275264527,0.3911957515635663
df_05_00,binary,-6,AdaBoost,0.5050551406386646,0.4270697653106524,0.5050551406386646,0.4283479633824928
df_05_00,binary,-6,Naive Bayes,0.4115377630251773,0.43139697393761,0.4115377630251773,0.3561947404654088
df_05_00,binary,-13,Gradient Boosting,0.6762150846350814,0.6741958678203993,0.6762150846350814,0.6638238150337404
df_05_00,binary,-13,Nearest Neighbors,0.7846952315577395,0.7813080171852553,0.7846952315577395,0.7792543148625433
df_05_00,binary,-13,Decision Tree,0.5929327583782256,0.5772488981384143,0.5929327583782256,0.575111812441447
df_05_00,binary,-13,Random Forest,0.5791542339818518,0.5514677555813746,0.5791542339818518,0.5307230249622062
df_05_00,binary,-13,Neural Net,0.6228852368626611,0.5996954342862713,0.6228852368626611,0.5975716401912684
df_05_00,binary,-13,AdaBoost,0.5321762988355627,0.5279594767565334,0.5321762988355627,0.5257411736085781
df_05_00,binary,-13,Naive Bayes,0.40156140133472384,0.4654781707437122,0.40156140133472384,0.3981447190671771
df_05_00,binary,-21,Gradient Boosting,0.6968468859024382,0.6889830643029526,0.6968468859024382,0.6819737321070833
df_05_00,binary,-21,Nearest Neighbors,0.8335690840403789,0.8307331336753319,0.8335690840403789,0.8274502679311654
df_05_00,binary,-21,Decision Tree,0.6065768667038253,0.5841694526081127,0.6065768667038253,0.5878476730071726
df_05_00,binary,-21,Random Forest,0.5874889728398119,0.5415951963500631,0.5874889728398119,0.536641358273723
df_05_00,binary,-21,Neural Net,0.6541972020946443,0.6301524952327215,0.6541972020946443,0.6293476481116355
df_05_00,binary,-21,AdaBoost,0.539874280052022,0.5364461769374268,0.539874280052022,0.5313969920469371
df_05_00,binary,-21,Naive Bayes,0.40685975378983363,0.4603180053418659,0.40685975378983363,0.40487126482142066
df_06_03,multiclass,-6,Gradient Boosting,0.5639686486918445,0.5473568571391303,0.5639686486918445,0.5466771775080487
df_06_03,multiclass,-6,Nearest Neighbors,0.6082534719471008,0.605723545957817,0.6082534719471008,0.6047715660674362
df_06_03,multiclass,-6,Decision Tree,0.5106554762528774,0.4936368427193602,0.5106554762528774,0.49543681188868566
df_06_03,multiclass,-6,Random Forest,0.5287581241225745,0.5064962821555248,0.5287581241225745,0.5097947319437249
df_06_03,multiclass,-6,Neural Net,0.5116452021202462,0.4825537963002217,0.5116452021202462,0.47865629132052956
df_06_03,multiclass,-6,AdaBoost,0.5029745276546926,0.48987562176760296,0.5029745276546926,0.49261769406620476
df_06_03,multiclass,-6,Naive Bayes,0.4428503996624727,0.41230322125916385,0.4428503996624727,0.39326181241061986
df_06_03,multiclass,-13,Gradient Boosting,0.6015448812565978,0.5880457425975896,0.6015448812565978,0.5841651606774726
df_06_03,multiclass,-13,Nearest Neighbors,0.7658885024981303,0.758844357923883,0.7658885024981303,0.7572453071248104
df_06_03,multiclass,-13,Decision Tree,0.5245545300267205,0.5050315224896964,0.5245545300267205,0.508831840348082
df_06_03,multiclass,-13,Random Forest,0.5430739852044507,0.5101221590381643,0.5430739852044507,0.5060309415049256
df_06_03,multiclass,-13,Neural Net,0.5367855716613229,0.5050212158310636,0.5367855716613229,0.5060968627561041
df_06_03,multiclass,-13,AdaBoost,0.4963101302255131,0.48054095885276754,0.4963101302255131,0.4833391688877223
